id,concatted,vendor,product_name,units,brand,detail_url,sku,upc
1,Vendor_C~Product_487,Voila,Product_245,222ml,Premium Brand,http://example.com/product_1,61935,3962156
2,Vendor_C~Product_252,Voila,Product_42,349ml,Generic Brand,http://example.com/product_2,83488,6160929
3,Vendor_B~Product_390,Loblaws,Product_458,414ml,Monster,http://example.com/product_3,82306,9854604
4,Vendor_B~Product_231,Walmart,Product_52,356ml,Generic Brand,http://example.com/product_4,13525,1468066
5,Vendor_C~Product_228,No Frills,Product_391,357ml,Generic Brand,http://example.com/product_5,97380,7564615
6,Vendor_E~Product_311,Metro,Product_327,256ml,Monster,http://example.com/product_6,81143,9171537
7,Vendor_D~Product_48,No Frills,Product_488,430ml,Premium Brand,http://example.com/product_7,33337,6999766
8,Vendor_A~Product_382,Loblaws,Product_103,270ml,Premium Brand,http://example.com/product_8,69768,2755379
9,Vendor_B~Product_255,No Frills,Product_215,353ml,Monster,http://example.com/product_9,53406,1296679
10,Vendor_C~Product_156,Galleria,Product_112,411ml,Generic Brand,http://example.com/product_10,74144,3084235
11,Vendor_E~Product_285,Walmart,Product_360,323ml,Generic Brand,http://example.com/product_11,84821,1563062
12,Vendor_C~Product_196,Galleria,Product_419,500ml,Generic Brand,http://example.com/product_12,54861,4030109
13,Vendor_C~Product_169,Galleria,Product_390,450ml,Premium Brand,http://example.com/product_13,99074,5767341
14,Vendor_A~Product_389,Save On Foods,Product_425,238ml,Generic Brand,http://example.com/product_14,68331,8342964
15,Vendor_D~Product_112,Metro,Product_287,489ml,Generic Brand,http://example.com/product_15,77790,1635501
16,Vendor_A~Product_95,Walmart,Product_130,404ml,Premium Brand,http://example.com/product_16,78756,1969580
17,Vendor_A~Product_251,Voila,Product_123,447ml,Generic Brand,http://example.com/product_17,94725,6551894
18,Vendor_E~Product_107,Galleria,Product_429,491ml,Generic Brand,http://example.com/product_18,90536,2358012
19,Vendor_C~Product_368,Metro,Product_376,362ml,Generic Brand,http://example.com/product_19,33983,8638744
20,Vendor_B~Product_137,Galleria,Product_242,248ml,Premium Brand,http://example.com/product_20,25836,9282860
21,Vendor_B~Product_339,Loblaws,Product_286,500ml,Premium Brand,http://example.com/product_21,88328,5341819
22,Vendor_A~Product_156,Save On Foods,Product_127,267ml,Premium Brand,http://example.com/product_22,36779,7908873
23,Vendor_C~Product_271,Galleria,Product_255,391ml,Monster,http://example.com/product_23,68276,9827957
24,Vendor_D~Product_60,Walmart,Product_257,266ml,Monster,http://example.com/product_24,29370,3686266
25,Vendor_A~Product_203,Metro,Product_367,408ml,Monster,http://example.com/product_25,82198,3161842
26,Vendor_C~Product_221,Galleria,Product_253,500ml,Premium Brand,http://example.com/product_26,78158,7086582
27,Vendor_E~Product_17,No Frills,Product_8,492ml,Premium Brand,http://example.com/product_27,40171,6882000
28,Vendor_D~Product_445,Loblaws,Product_62,386ml,Monster,http://example.com/product_28,41694,6366424
29,Vendor_B~Product_41,Voila,Product_427,297ml,Generic Brand,http://example.com/product_29,97477,8043289
30,Vendor_E~Product_25,Galleria,Product_173,401ml,Generic Brand,http://example.com/product_30,87973,3755523
31,Vendor_A~Product_239,No Frills,Product_234,203ml,Monster,http://example.com/product_31,66244,3137814
32,Vendor_A~Product_332,Walmart,Product_468,347ml,Generic Brand,http://example.com/product_32,24785,2664970
33,Vendor_B~Product_275,Loblaws,Product_301,245ml,Monster,http://example.com/product_33,93615,1658546
34,Vendor_C~Product_52,No Frills,Product_105,299ml,Monster,http://example.com/product_34,49075,7182453
35,Vendor_D~Product_199,Save On Foods,Product_101,296ml,Premium Brand,http://example.com/product_35,32501,1470724
36,Vendor_E~Product_267,Save On Foods,Product_227,437ml,Generic Brand,http://example.com/product_36,77972,1598598
37,Vendor_E~Product_143,Metro,Product_489,469ml,Generic Brand,http://example.com/product_37,82258,3700738
38,Vendor_C~Product_201,Voila,Product_116,333ml,Monster,http://example.com/product_38,72193,1730166
39,Vendor_A~Product_494,Voila,Product_65,414ml,Generic Brand,http://example.com/product_39,38223,1985538
40,Vendor_B~Product_344,Loblaws,Product_137,390ml,Generic Brand,http://example.com/product_40,58560,4770352
41,Vendor_E~Product_339,Loblaws,Product_31,446ml,Monster,http://example.com/product_41,60882,8863300
42,Vendor_E~Product_139,Loblaws,Product_6,235ml,Monster,http://example.com/product_42,74851,5321192
43,Vendor_D~Product_33,Galleria,Product_362,359ml,Monster,http://example.com/product_43,85140,7957037
44,Vendor_E~Product_457,Loblaws,Product_70,438ml,Generic Brand,http://example.com/product_44,17240,3192161
45,Vendor_B~Product_105,Save On Foods,Product_187,412ml,Generic Brand,http://example.com/product_45,76467,7658072
46,Vendor_A~Product_279,Walmart,Product_459,478ml,Premium Brand,http://example.com/product_46,91016,2840302
47,Vendor_A~Product_248,Loblaws,Product_480,260ml,Monster,http://example.com/product_47,66743,5744510
48,Vendor_C~Product_17,Voila,Product_388,451ml,Premium Brand,http://example.com/product_48,77067,1322375
49,Vendor_A~Product_138,Voila,Product_254,490ml,Generic Brand,http://example.com/product_49,47928,9454578
50,Vendor_E~Product_456,Walmart,Product_11,360ml,Premium Brand,http://example.com/product_50,53162,8504749
51,Vendor_A~Product_18,Voila,Product_396,410ml,Premium Brand,http://example.com/product_51,14814,1165755
52,Vendor_B~Product_408,No Frills,Product_89,257ml,Monster,http://example.com/product_52,10994,9980183
53,Vendor_D~Product_102,No Frills,Product_91,262ml,Premium Brand,http://example.com/product_53,49821,4310176
54,Vendor_D~Product_345,Galleria,Product_400,331ml,Monster,http://example.com/product_54,14226,5813237
55,Vendor_C~Product_434,Galleria,Product_277,350ml,Premium Brand,http://example.com/product_55,18793,7056388
56,Vendor_A~Product_71,Walmart,Product_251,457ml,Premium Brand,http://example.com/product_56,94830,2763977
57,Vendor_B~Product_359,Voila,Product_287,497ml,Premium Brand,http://example.com/product_57,57629,1811601
58,Vendor_A~Product_396,Walmart,Product_146,295ml,Premium Brand,http://example.com/product_58,80808,7833888
59,Vendor_B~Product_489,No Frills,Product_418,456ml,Monster,http://example.com/product_59,21486,6304923
60,Vendor_D~Product_80,Voila,Product_146,423ml,Monster,http://example.com/product_60,14318,9707328
61,Vendor_E~Product_131,Metro,Product_328,260ml,Generic Brand,http://example.com/product_61,99810,9691606
62,Vendor_E~Product_415,Walmart,Product_157,392ml,Generic Brand,http://example.com/product_62,23051,2148643
63,Vendor_C~Product_227,Metro,Product_293,303ml,Generic Brand,http://example.com/product_63,71078,8133715
64,Vendor_A~Product_21,Galleria,Product_447,282ml,Generic Brand,http://example.com/product_64,33574,3193574
65,Vendor_D~Product_238,No Frills,Product_169,239ml,Generic Brand,http://example.com/product_65,60696,5368739
66,Vendor_A~Product_318,Walmart,Product_99,291ml,Generic Brand,http://example.com/product_66,94563,2897102
67,Vendor_A~Product_162,Voila,Product_230,414ml,Generic Brand,http://example.com/product_67,71095,7201290
68,Vendor_C~Product_28,Galleria,Product_494,232ml,Monster,http://example.com/product_68,69697,3694146
69,Vendor_D~Product_420,Save On Foods,Product_101,447ml,Premium Brand,http://example.com/product_69,95027,4044240
70,Vendor_A~Product_154,Voila,Product_34,429ml,Generic Brand,http://example.com/product_70,16229,6460793
71,Vendor_C~Product_129,Voila,Product_191,478ml,Monster,http://example.com/product_71,72960,6125751
72,Vendor_E~Product_90,Metro,Product_347,373ml,Monster,http://example.com/product_72,11150,4692356
73,Vendor_C~Product_277,Walmart,Product_489,452ml,Monster,http://example.com/product_73,11106,5738111
74,Vendor_B~Product_426,No Frills,Product_260,273ml,Generic Brand,http://example.com/product_74,47366,5489011
75,Vendor_E~Product_376,No Frills,Product_350,412ml,Premium Brand,http://example.com/product_75,65960,3135449
76,Vendor_E~Product_469,Loblaws,Product_373,402ml,Generic Brand,http://example.com/product_76,28256,1889804
